ID,Age,Education,Marital_Status,Income,AcceptedCmp1,Complain,Response
1,Old,Graduation,Single,Very high,No,No,Yes
2,Old,Graduation,Single,High,No,No,No
3,Middle,Graduation,Together,Very high,No,No,No
4,Middle,Graduation,Together,High,No,No,No
5,Middle,PhD,Married,Very high,No,No,No
6,Middle,Master,Together,Very high,No,No,No
7,Young,Graduation,Divorced,Very high,No,No,No
8,Middle,PhD,Married,High,No,No,No
9,Old,PhD,Together,High,No,No,Yes
10,Middle,PhD,Together,Medium,No,No,No
11,Middle,Graduation,Married,Low,No,No,No
12,Old,Basic,Married,Medium,No,No,No
13,Old,Graduation,Divorced,Very high,No,No,No
14,Young,Master,Divorced,Very high,No,No,No
15,Old,Graduation,Married,Medium,No,No,No
16,Middle,PhD,Single,Very high,Yes,No,Yes
17,Old,Graduation,Married,High,No,No,No
18,Old,Graduation,Together,High,No,No,No
19,Young,Master,Married,Very high,Yes,No,No
20,Middle,2n Cycle,Single,High,No,No,No
21,Middle,Graduation,Married,High,No,No,No
22,Old,Graduation,Married,Low,No,No,No
23,Old,PhD,Married,Very high,No,No,No
24,Old,PhD,Married,Very high,No,No,No
25,Middle,Graduation,Together,High,No,No,No
26,Middle,Graduation,Single,Medium,No,No,No
27,Young,Graduation,Married,Very high,No,No,No
28,Young,Graduation,Single,Low,No,No,No
29,Old,Graduation,Married,High,No,No,No
30,Young,PhD,Married,Very high,No,No,No
31,Old,Master,Divorced,Medium,No,No,No
32,Middle,Master,Together,High,No,No,No
33,Old,Graduation,Together,High,No,No,No
34,Old,PhD,Divorced,High,No,No,Yes
35,Old,Master,Married,Very high,No,No,No
36,Middle,Master,Single,High,No,No,No
37,Middle,PhD,Married,Very high,No,No,No
38,Middle,2n Cycle,Married,Medium,No,No,No
39,Old,Graduation,Widow,High,No,No,No
40,Middle,PhD,Divorced,High,No,No,Yes
41,Young,Graduation,Married,Very high,No,No,No
42,Old,Master,Married,Medium,No,No,No
43,Old,Graduation,Together,Medium,No,No,No
44,Middle,PhD,Single,Low,No,No,No
45,Middle,Master,Married,Medium,No,No,No
46,Young,Graduation,Single,Very high,No,No,No
47,Middle,2n Cycle,Married,Medium,No,No,Yes
48,Old,Graduation,Together,High,No,No,No
49,Old,Graduation,Single,Low,No,No,No
50,Old,PhD,Married,Very high,No,No,No
51,Old,Graduation,Widow,Very high,No,No,No
52,Middle,Master,Married,Very high,No,No,No
53,Middle,Graduation,Single,High,No,No,No
54,Middle,Graduation,Divorced,Very high,Yes,No,Yes
55,Old,Graduation,Married,Very high,No,No,No
56,Middle,Master,Together,Very high,No,No,Yes
57,Young,Graduation,Divorced,Very high,No,No,Yes
58,Middle,Graduation,Single,High,No,No,No
59,Middle,Graduation,Single,Low,No,No,No
60,Middle,PhD,Married,Very high,No,No,No
61,Middle,Master,Single,Very high,No,No,Yes
62,Old,Graduation,Together,Very high,No,No,No
63,Old,Graduation,Single,Very high,No,No,No
64,Old,PhD,Widow,Very high,No,No,No
65,Middle,Graduation,Together,Very high,No,No,No
66,Middle,Graduation,Married,High,No,No,Yes
67,Middle,Graduation,Together,High,No,No,No
68,Old,2n Cycle,Single,Very high,Yes,No,Yes
69,Middle,Graduation,Together,Very high,No,No,No
70,Old,Graduation,Together,Very high,No,No,No
71,Middle,Master,Married,Very high,No,No,No
72,Old,2n Cycle,Married,Low,No,No,No
73,Middle,Graduation,Married,Very high,No,No,No
74,Old,PhD,Married,Very high,No,No,No
75,Middle,Graduation,Married,High,No,No,No
76,Middle,Graduation,Divorced,High,No,No,No
77,Middle,Master,Married,Very high,No,No,Yes
78,Middle,Graduation,Single,Very high,No,No,Yes
79,Old,2n Cycle,Together,High,No,Yes,No
80,Young,Graduation,Together,Very high,No,No,Yes
81,Middle,Graduation,Single,High,No,No,No
82,Middle,Graduation,Married,High,No,No,No
83,Old,2n Cycle,Married,Medium,No,No,No
84,Young,Master,Together,High,No,No,No
85,Old,Graduation,Divorced,Very high,No,No,No
86,Middle,Graduation,Married,High,No,No,No
87,Old,Master,Married,High,No,No,No
88,Middle,Graduation,Single,Very high,Yes,No,Yes
89,Middle,Graduation,Married,Very high,No,No,No
90,Old,Graduation,Together,Very high,No,No,No
91,Old,PhD,Married,Low,No,No,No
92,Middle,Graduation,Single,Low,No,No,No
93,Middle,Master,Together,Low,No,No,No
94,Middle,Master,Single,High,No,No,No
95,Middle,PhD,Married,Medium,No,No,No
96,Old,Graduation,Married,High,No,No,No
97,Middle,Graduation,Widow,High,No,No,No
98,Old,Graduation,Divorced,Very high,No,No,No
99,Middle,2n Cycle,Married,Very high,Yes,No,No
100,Old,PhD,Married,Very high,No,No,No
101,Old,2n Cycle,Single,High,No,No,No
102,Middle,PhD,Single,High,No,No,No
103,Old,Graduation,Together,Very high,No,No,No
104,Old,PhD,Married,Very high,No,No,No
105,Middle,Graduation,Married,Very high,No,No,Yes
106,Old,Basic,Together,Medium,No,No,No
107,Middle,Graduation,Married,High,No,No,No
108,Middle,Graduation,Married,Very high,No,No,No
109,Old,Graduation,Single,High,No,No,No
110,Middle,Master,Married,Very high,No,No,No
111,Young,Graduation,Together,Very high,No,No,No
112,Old,PhD,Single,Very high,No,No,Yes
113,Young,Master,Together,Very high,No,No,No
114,Middle,Graduation,Single,Very high,No,No,Yes
115,Old,PhD,Married,High,No,No,No
116,Middle,Graduation,Single,Very high,No,No,No
117,Middle,Graduation,Married,Very high,Yes,No,No
118,Middle,2n Cycle,Married,High,No,No,No
119,Middle,2n Cycle,Together,High,No,No,No
120,Old,Graduation,Together,Medium,No,No,No
121,Middle,Master,Together,Very high,No,No,No
122,Young,Master,Single,High,No,No,Yes
123,Middle,Master,Married,Medium,No,No,No
124,Middle,Graduation,Divorced,High,No,No,No
125,Old,Graduation,Single,Very high,Yes,No,Yes
126,Middle,2n Cycle,Together,Very high,No,No,No
127,Old,Graduation,Single,Very high,No,No,Yes
128,Old,Master,Married,Very high,No,No,No
129,Old,PhD,Married,Low,No,No,No
130,Old,PhD,Together,Very high,No,No,No
131,Old,Graduation,Married,Very high,No,No,No
132,Middle,Master,Alone,Very high,No,No,No
133,Old,Graduation,Married,Very high,No,No,No
134,Old,Graduation,Married,Low,No,No,No
135,Middle,PhD,Married,High,No,No,No
136,Middle,PhD,Together,Very high,No,No,No
137,Old,Basic,Divorced,Medium,No,No,No
138,Middle,PhD,Married,High,No,No,No
139,Old,PhD,Alone,High,No,No,Yes
140,Young,PhD,Divorced,High,No,No,No
141,Middle,Master,Single,Very high,No,No,No
142,Old,Master,Together,Very high,No,No,Yes
143,Middle,Graduation,Married,Very high,No,No,No
144,Young,PhD,Single,Very high,No,No,No
145,Middle,Graduation,Together,High,No,No,No
146,Middle,Graduation,Married,Very high,No,No,No
147,Middle,Graduation,Married,Medium,No,No,Yes
148,Middle,Graduation,Together,High,No,Yes,No
149,Middle,2n Cycle,Married,High,No,No,No
150,Old,Master,Married,High,No,No,No
151,Middle,Master,Married,Very high,No,No,No
152,Middle,Graduation,Married,Very high,No,No,No
153,Young,2n Cycle,Together,High,No,No,No
154,Old,Graduation,Alone,High,No,No,No
155,Old,PhD,Together,Very high,No,No,No
156,Old,Graduation,Together,Very high,No,No,Yes
157,Middle,Graduation,Single,High,No,No,No
158,Middle,Graduation,Single,Very high,No,No,No
159,Old,Graduation,Together,Very high,No,No,No
160,Old,Graduation,Single,Very high,No,No,No
161,Old,Master,Single,High,No,No,No
162,Middle,PhD,Married,Very high,No,No,No
163,Middle,Graduation,Married,Medium,No,No,No
164,Middle,PhD,Divorced,Very high,No,No,No
165,Middle,PhD,Married,Very high,No,No,No
166,Old,Graduation,Together,High,No,No,No
167,Old,Graduation,Divorced,Very high,No,No,No
168,Young,Graduation,Divorced,Very high,No,No,No
169,Old,Graduation,Single,Very high,No,No,No
170,Old,Graduation,Together,High,No,No,No
171,Middle,Graduation,Together,High,No,No,No
172,Middle,Graduation,Married,High,No,No,No
173,Old,Graduation,Married,Very high,No,No,No
174,Middle,PhD,Together,Very high,No,No,No
175,Middle,Graduation,Single,Very high,No,No,No
176,Old,PhD,Married,Very high,No,No,No
177,Middle,PhD,Married,Very high,Yes,No,Yes
178,Old,PhD,Married,High,No,No,No
179,Old,Graduation,Together,High,No,No,No
180,Middle,2n Cycle,Married,Very high,Yes,No,No
181,Young,PhD,Married,Very high,No,No,No
182,Old,2n Cycle,Married,Medium,No,No,No
183,Middle,Master,Married,Very high,No,No,No
184,Old,Master,Married,High,No,No,No
185,Middle,Basic,Married,High,No,No,No
186,Middle,Graduation,Married,High,No,No,No
187,Middle,PhD,Single,High,No,No,No
188,Middle,Graduation,Married,Very high,No,No,No
189,Old,Graduation,Married,Very high,No,No,No
190,Middle,PhD,Married,High,No,No,No
191,Young,Basic,Together,Medium,No,No,No
192,Old,PhD,Together,Very high,No,No,No
193,Young,2n Cycle,Divorced,High,No,Yes,No
194,Middle,Graduation,Married,High,No,No,No
195,Middle,Graduation,Married,Very high,No,No,No
196,Middle,Graduation,Married,High,No,No,No
197,Old,Master,Married,Very high,No,No,No
198,Old,Graduation,Married,Very high,No,No,No
199,Middle,Graduation,Married,Very high,No,No,No
200,Old,PhD,Single,High,No,No,Yes
201,Middle,Graduation,Divorced,Very high,No,No,No
202,Middle,Graduation,Single,Very high,No,No,No
203,Middle,Graduation,Divorced,Very high,No,No,No
204,Old,PhD,Together,Very high,Yes,No,Yes
205,Middle,PhD,Single,High,No,No,No
206,Young,Master,Single,Medium,No,No,Yes
207,Old,Graduation,Together,High,No,No,No
208,Middle,Master,Divorced,High,No,No,No
209,Old,Graduation,Married,High,No,No,No
210,Old,Graduation,Divorced,Very high,No,No,Yes
211,Old,Graduation,Together,High,No,No,No
212,Middle,Graduation,Together,Very high,No,No,No
213,Middle,PhD,Married,High,No,No,No
214,Young,Master,Together,High,No,No,No
215,Middle,Graduation,Married,Very high,No,No,No
216,Middle,Graduation,Married,High,No,No,No
217,Old,2n Cycle,Single,Very high,No,No,No
218,Old,Master,Married,Very high,No,No,No
219,Middle,Master,Widow,High,No,No,No
220,Young,Graduation,Together,Very high,No,No,No
221,Middle,2n Cycle,Together,High,No,No,No
222,Middle,Graduation,Married,Very high,No,No,No
223,Middle,PhD,Together,Very high,No,No,No
224,Old,PhD,Married,High,No,No,No
225,Middle,Graduation,Divorced,Very high,No,No,No
226,Middle,Graduation,Together,High,No,No,No
227,Old,Graduation,Together,Very high,No,No,No
228,Middle,Graduation,Divorced,Very high,No,No,No
229,Young,PhD,Married,Very high,No,No,No
230,Middle,PhD,Together,High,No,No,No
231,Old,Graduation,Single,High,No,No,Yes
232,Middle,2n Cycle,Divorced,Very high,No,No,No
233,Old,Graduation,Together,High,No,No,No
234,Old,Graduation,Single,Medium,No,No,No
235,Middle,PhD,Married,Very high,No,No,No
236,Middle,2n Cycle,Married,Medium,No,No,No
237,Old,Master,Together,Medium,No,No,No
238,Middle,PhD,Single,Very high,No,No,No
239,Old,Graduation,Single,Medium,No,No,No
240,Middle,2n Cycle,Single,Very high,No,No,No
241,Old,Graduation,Widow,Very high,No,No,No
242,Middle,Graduation,Together,Very high,No,No,No
243,Young,Graduation,Single,Medium,No,No,No
244,Old,Graduation,Married,Very high,Yes,No,Yes
245,Old,Graduation,Married,Very high,No,No,No
246,Middle,PhD,Married,High,No,No,No
247,Old,Graduation,Married,Very high,Yes,No,Yes
248,Young,Graduation,Married,Very high,No,No,No
249,Middle,PhD,Married,Very high,No,No,No
250,Middle,Master,Together,Very high,No,No,No
251,Young,Master,Single,High,No,No,No
252,Middle,Graduation,Single,High,No,No,No
253,Old,Graduation,Divorced,Very high,Yes,No,Yes
254,Middle,2n Cycle,Together,High,No,No,No
255,Middle,Graduation,Together,Very high,No,No,No
256,Old,PhD,Single,High,No,No,No
257,Old,PhD,Together,Very high,No,No,No
258,Old,Graduation,Single,High,No,No,No
259,Old,Graduation,Single,Medium,No,No,No
260,Middle,PhD,Single,High,No,No,No
261,Middle,Graduation,Divorced,Medium,No,No,Yes
262,Middle,PhD,Divorced,Very high,No,No,No
263,Middle,Master,Married,High,No,No,No
264,Old,PhD,Married,High,No,No,No
265,Middle,Master,Together,High,No,No,Yes
266,Old,Master,Married,High,No,No,No
267,Middle,Graduation,Married,Very high,No,No,No
268,Middle,PhD,Married,High,No,No,Yes
269,Middle,Graduation,Married,Very high,No,No,No
270,Old,Graduation,Together,Medium,No,No,No
271,Middle,Graduation,Single,Very high,No,No,Yes
272,Middle,Master,Single,High,No,Yes,No
273,Old,PhD,Together,Very high,No,No,No
274,Old,Graduation,Married,High,No,No,No
275,Old,Graduation,Divorced,High,No,No,No
276,Old,PhD,Together,Very high,No,No,No
277,Middle,Graduation,Single,Very high,No,No,Yes
278,Young,Master,Together,Very high,No,No,No
279,Middle,PhD,Single,Very high,Yes,No,Yes
280,Middle,Master,Divorced,Very high,No,No,No
281,Middle,Basic,Married,Medium,No,No,No
282,Old,Graduation,Together,Very high,No,No,No
283,Middle,Graduation,Together,High,No,No,No
284,Middle,PhD,Together,Very high,No,No,No
285,Middle,Master,Married,High,No,No,No
286,Old,Graduation,Married,High,No,No,No
287,Old,Graduation,Together,Very high,No,No,No
288,Middle,Master,Together,Very high,No,No,No
289,Old,Graduation,Widow,Very high,No,No,No
290,Middle,Master,Divorced,High,No,No,No
291,Middle,2n Cycle,Together,High,No,No,No
292,Middle,Graduation,Together,High,No,No,No
293,Middle,Graduation,Married,Very high,No,No,No
294,Old,Graduation,Together,Medium,No,No,No
295,Old,Graduation,Together,High,No,No,No
296,Young,Master,Together,Very high,No,No,No
297,Young,2n Cycle,Divorced,High,No,No,No
298,Middle,Master,Together,High,No,No,No
299,Old,Graduation,Single,Very high,No,No,No
300,Old,PhD,Divorced,Very high,No,No,No
301,Old,Graduation,Divorced,High,No,No,No
302,Middle,2n Cycle,Together,Very high,No,No,No
303,Young,PhD,Married,High,No,No,No
304,Middle,Graduation,Single,High,No,No,No
305,Old,Graduation,Together,Medium,No,No,No
306,Middle,Master,Married,Very high,Yes,No,No
307,Old,Graduation,Widow,High,No,No,Yes
308,Old,Graduation,Single,Very high,No,No,No
309,Young,Master,Married,Very high,No,No,No
310,Middle,Master,Together,High,No,No,No
311,Middle,Graduation,Divorced,Medium,No,No,No
312,Young,Graduation,Married,Medium,No,No,No
313,Middle,Graduation,Married,Low,Yes,No,No
314,Middle,Master,Single,Very high,No,No,No
315,Old,Graduation,Married,Very high,No,No,No
316,Middle,Master,Together,High,No,No,No
317,Young,Graduation,Married,High,No,No,No
318,Old,Graduation,Single,Very high,No,No,No
319,Middle,Graduation,Married,High,No,No,No
320,Middle,Graduation,Single,Low,Yes,No,No
321,Middle,Graduation,Married,Very high,No,No,No
322,Old,Graduation,Married,High,No,No,No
323,Old,PhD,Divorced,High,No,No,No
324,Old,PhD,Divorced,Very high,No,No,No
325,Old,Graduation,Single,High,No,No,No
326,Middle,Graduation,Married,Very high,No,No,No
327,Middle,PhD,Divorced,Medium,No,No,No
328,Old,Graduation,Married,High,No,No,No
329,Young,PhD,Married,Very high,No,No,No
330,Middle,PhD,Single,High,No,No,No
331,Young,Graduation,Single,Medium,No,No,No
332,Old,PhD,Single,High,No,No,No
333,Middle,PhD,Married,Very high,No,No,Yes
334,Middle,Master,Married,High,No,No,Yes
335,Old,Graduation,Together,Medium,No,No,No
336,Middle,Graduation,Divorced,Very high,No,No,No
337,Middle,Graduation,Divorced,Very high,Yes,No,Yes
338,Old,Graduation,Married,High,No,No,No
339,Old,Graduation,Together,Very high,No,No,Yes
340,Young,PhD,Together,Very high,No,No,No
341,Young,Graduation,Single,Very high,No,No,No
342,Middle,Graduation,Divorced,High,No,No,No
343,Old,PhD,Married,Very high,No,No,No
344,Middle,PhD,Together,Very high,No,No,No
345,Old,Basic,Together,High,No,No,Yes
346,Old,Graduation,Divorced,Very high,No,No,No
347,Middle,Graduation,Married,High,No,No,No
348,Middle,Graduation,Divorced,Very high,No,No,Yes
349,Middle,Graduation,Widow,High,No,No,No
350,Old,Master,Married,High,No,No,No
351,Young,Graduation,Married,Very high,No,No,No
352,Middle,Graduation,Married,Very high,No,No,No
353,Middle,PhD,Single,Very high,No,No,Yes
354,Middle,Graduation,Married,Very high,No,No,No
355,Middle,PhD,Single,Very high,No,No,No
356,Old,Graduation,Single,High,No,Yes,No
357,Middle,Graduation,Married,Very high,No,No,No
358,Old,PhD,Married,Very high,No,No,No
359,Old,Master,Married,Very high,No,Yes,No
360,Old,PhD,Together,High,No,No,No
361,Middle,Graduation,Married,Very high,No,No,No
362,Middle,PhD,Widow,Very high,No,No,No
363,Middle,Graduation,Married,High,No,No,No
364,Middle,PhD,Married,High,No,No,No
365,Middle,Graduation,Married,Very high,No,No,No
366,Old,Graduation,Single,Very high,No,No,No
367,Middle,Graduation,Married,Very high,No,No,No
368,Old,Graduation,Divorced,High,No,No,No
369,Middle,Graduation,Together,Very high,No,No,No
370,Middle,PhD,Single,Very high,No,No,No
371,Middle,2n Cycle,Married,High,No,No,No
372,Middle,Graduation,Married,High,No,No,No
373,Middle,Master,Single,High,No,No,No
374,Middle,Graduation,Single,Very high,No,No,No
375,Middle,PhD,Single,High,No,No,Yes
376,Middle,Master,Single,High,No,No,No
377,Young,Graduation,Single,Medium,No,No,Yes
378,Old,Graduation,Single,High,No,No,No
379,Middle,PhD,Together,Very high,No,No,No
380,Middle,Graduation,Single,High,No,No,No
381,Young,PhD,Married,High,No,No,No
382,Old,Graduation,Married,Medium,No,No,No
383,Middle,Graduation,Widow,High,No,No,No
384,Middle,2n Cycle,Married,High,No,No,No
385,Middle,Master,Single,High,No,No,No
386,Middle,Graduation,Single,Medium,No,No,No
387,Old,Master,Together,High,No,No,Yes
388,Old,Graduation,Together,Very high,No,No,No
389,Middle,Graduation,Together,High,No,No,No
390,Middle,PhD,Divorced,Very high,No,No,No
391,Middle,Graduation,Together,Very high,No,No,No
392,Young,Master,Together,Very high,No,No,No
393,Old,Graduation,Single,Very high,No,No,No
394,Middle,PhD,Married,Very high,No,No,No
395,Young,Master,Married,Very high,No,No,No
396,Middle,PhD,Together,Very high,No,No,No
397,Middle,Graduation,Married,High,No,No,No
398,Young,Graduation,Together,Medium,No,No,Yes
399,Middle,Graduation,Single,Medium,No,No,No
400,Old,2n Cycle,Together,Medium,No,No,Yes
401,Old,2n Cycle,Divorced,High,No,No,No
402,Middle,Graduation,Together,Very high,No,No,No
403,Old,Graduation,Single,High,No,No,No
404,Old,Graduation,Together,High,No,No,No
405,Old,PhD,Single,Very high,No,No,Yes
406,Middle,Graduation,Married,High,No,No,No
407,Middle,PhD,Single,High,No,No,Yes
408,Middle,PhD,Divorced,Very high,No,No,No
409,Old,PhD,Together,High,No,No,No
410,Middle,Graduation,Married,Very high,No,No,No
411,Middle,2n Cycle,Single,Medium,No,No,Yes
412,Old,Graduation,Married,Very high,No,No,No
413,Young,PhD,Married,Very high,Yes,No,No
414,Old,Graduation,Single,High,No,No,No
415,Old,Graduation,Together,Very high,No,No,No
416,Middle,PhD,Married,Very high,No,No,No
417,Young,2n Cycle,Together,Medium,No,No,No
418,Middle,Graduation,Together,Very high,Yes,No,No
419,Middle,Graduation,Single,Very high,Yes,No,Yes
420,Middle,Master,Married,High,No,No,No
421,Middle,PhD,Married,High,No,No,No
422,Middle,Graduation,Married,High,No,No,No
423,Middle,Master,Together,Medium,No,No,No
424,Old,Master,Married,Very high,No,No,Yes
425,Old,PhD,Married,Very high,No,No,No
426,Young,Graduation,Married,High,No,No,No
427,Young,Graduation,Married,Very high,Yes,No,No
428,Young,Graduation,Married,Very high,Yes,No,No
429,Middle,2n Cycle,Together,Medium,No,No,No
430,Old,Graduation,Married,Very high,No,No,No
431,Young,PhD,Single,Very high,Yes,No,Yes
432,Middle,Graduation,Married,High,No,No,No
433,Old,2n Cycle,Together,Very high,No,No,No
434,Middle,Graduation,Married,Very high,No,No,No
435,Old,Graduation,Single,High,No,No,No
436,Middle,Master,Together,Very high,No,No,No
437,Old,Graduation,Divorced,Very high,No,No,No
438,Middle,Master,Widow,Very high,No,No,No
439,Young,PhD,Married,High,No,No,No
440,Young,2n Cycle,Married,Medium,No,No,No
441,Old,Graduation,Married,High,No,No,No
442,Old,PhD,Married,Very high,No,No,No
443,Young,Graduation,Married,Medium,No,No,No
444,Middle,Graduation,Single,High,No,No,No
445,Old,2n Cycle,Married,Medium,No,No,No
446,Middle,Graduation,Divorced,Medium,No,No,No
447,Old,Master,Divorced,High,No,No,No
448,Middle,Graduation,Single,Very high,Yes,No,No
449,Old,Graduation,Married,Medium,No,No,No
450,Old,PhD,Married,Very high,No,No,No
451,Middle,Graduation,Single,Very high,No,No,No
452,Middle,Graduation,Married,Very high,No,No,No
453,Middle,Master,Single,High,No,No,No
454,Middle,2n Cycle,Married,Very high,No,No,No
455,Middle,Graduation,Married,Very high,No,No,No
456,Middle,Graduation,Married,High,No,No,No
457,Middle,2n Cycle,Single,Very high,Yes,No,Yes
458,Old,Master,Married,High,No,No,Yes
459,Middle,Graduation,Married,Very high,No,No,No
460,Old,2n Cycle,Together,Very high,No,No,No
461,Old,Graduation,Married,Very high,Yes,No,Yes
462,Old,Graduation,Widow,Very high,No,No,No
463,Old,PhD,Widow,Very high,No,No,No
464,Middle,Graduation,Married,Very high,No,No,No
465,Middle,Graduation,Married,High,No,No,No
466,Old,PhD,Single,Very high,No,No,No
467,Middle,PhD,Together,Very high,No,No,Yes
468,Old,Graduation,Widow,High,No,No,No
469,Middle,Graduation,Married,Very high,No,No,No
470,Middle,PhD,Together,High,No,No,No
471,Middle,Graduation,Married,Very high,No,No,No
472,Middle,Graduation,Married,High,No,No,Yes
473,Middle,PhD,Together,Very high,No,No,Yes
474,Young,Graduation,Married,High,No,No,No
475,Old,Graduation,Single,Medium,No,No,No
476,Middle,Graduation,Married,Very high,No,No,No
477,Middle,PhD,Single,High,No,No,No
478,Middle,Master,Married,Very high,No,No,No
479,Middle,PhD,Married,Very high,No,No,No
480,Middle,Graduation,Married,High,No,No,No
481,Middle,Master,Married,High,No,No,No
482,Middle,Master,Divorced,High,No,No,No
483,Middle,Graduation,Single,High,No,No,Yes
484,Old,Graduation,Married,High,No,No,No
485,Old,Master,Together,Very high,No,No,No
486,Middle,PhD,Divorced,Very high,No,No,Yes
487,Middle,Master,Together,Very high,No,No,No
488,Middle,Graduation,Married,Very high,No,No,No
489,Old,Graduation,Married,Medium,No,No,No
490,Old,2n Cycle,Widow,High,No,No,No
491,Middle,PhD,Together,Very high,No,No,No
492,Old,Graduation,Divorced,High,No,No,No
493,Old,Graduation,Together,Very high,Yes,No,No
494,Old,Master,Single,Very high,No,No,No
495,Old,PhD,Divorced,Very high,No,No,No
496,Middle,Master,Divorced,Very high,No,No,No
497,Middle,Graduation,Divorced,Very high,No,No,No
498,Old,PhD,Together,Very high,No,No,No
499,Old,PhD,Together,Very high,No,No,No
500,Old,Graduation,Married,Very high,No,No,No
501,Old,Graduation,Together,High,No,No,No
502,Young,Master,Together,High,No,No,No
503,Young,Basic,Married,Medium,No,No,No
504,Old,PhD,Married,Very high,No,No,No
505,Old,Master,Together,Very high,No,No,No
506,Middle,Graduation,Widow,Very high,No,No,No
507,Young,Graduation,Married,Very high,No,No,No
508,Young,Graduation,Single,Very high,No,No,No
509,Old,Graduation,Married,High,No,No,No
510,Middle,Graduation,Divorced,Very high,No,No,No
511,Middle,PhD,Together,High,No,No,No
512,Old,Graduation,Single,Very high,No,No,No
513,Old,Graduation,Married,High,No,No,No
514,Old,Master,Together,Very high,No,No,No
515,Middle,PhD,Together,High,No,No,No
516,Old,Master,Single,Very high,No,No,No
517,Young,Graduation,Married,High,No,No,No
518,Old,Graduation,Single,High,No,No,No
519,Old,Graduation,Together,Very high,No,No,No
520,Old,Master,Married,Very high,Yes,No,No
521,Young,Graduation,Divorced,High,No,No,No
522,Young,Master,Single,Very high,No,No,No
523,Old,Graduation,Married,High,No,No,No
524,Young,Graduation,Married,Very high,No,No,No
525,Young,Graduation,Married,High,No,No,Yes
526,Old,Graduation,Married,High,No,No,No
527,Middle,PhD,Together,Very high,No,No,No
528,Old,Master,Married,Very high,No,No,No
529,Old,Graduation,Single,Very high,No,No,No
530,Middle,PhD,Married,High,No,No,No
531,Middle,2n Cycle,Widow,High,No,No,No
532,Middle,Graduation,Single,Very high,No,No,No
533,Old,Master,Together,Very high,No,No,No
534,Middle,Graduation,Married,Very high,No,No,No
535,Old,Graduation,Single,High,No,No,No
536,Middle,Master,Together,High,No,No,No
537,Middle,Graduation,Together,High,No,No,No
538,Old,Graduation,Divorced,Very high,No,No,Yes
539,Middle,2n Cycle,Together,Very high,No,No,No
540,Middle,Master,Single,Medium,No,No,No
541,Middle,2n Cycle,Together,High,No,No,No
542,Middle,Graduation,Widow,High,No,No,No
543,Middle,PhD,Single,High,No,No,No
544,Middle,PhD,Married,Very high,No,No,Yes
545,Young,Graduation,Together,Very high,No,No,No
546,Old,2n Cycle,Married,Medium,No,No,No
547,Middle,Graduation,Widow,Very high,No,No,Yes
548,Middle,Graduation,Married,High,No,No,No
549,Middle,Graduation,Married,Medium,No,No,Yes
550,Old,Master,Married,High,No,No,No
551,Young,2n Cycle,Single,High,No,No,No
552,Middle,Graduation,Single,Medium,No,No,Yes
553,Old,PhD,Single,Very high,No,No,No
554,Old,Graduation,Married,Medium,No,No,No
555,Old,Master,Married,Very high,No,No,Yes
556,Middle,Graduation,Together,High,No,No,No
557,Middle,PhD,Single,Very high,No,No,No
558,Middle,Graduation,Married,Very high,No,No,No
559,Old,2n Cycle,Married,Medium,No,No,No
560,Middle,Graduation,Together,Very high,Yes,No,Yes
561,Middle,Graduation,Married,High,No,No,No
562,Middle,Graduation,Single,Very high,No,No,No
563,Middle,Master,Together,Very high,No,No,No
564,Old,2n Cycle,Married,Very high,No,No,No
565,Old,PhD,Divorced,High,No,No,No
566,Old,PhD,Together,Very high,No,No,No
567,Old,Graduation,Single,Very high,No,No,No
568,Middle,Master,Together,High,No,No,No
569,Middle,Graduation,Single,High,No,No,No
