Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/09/2021,33,26,29,,41.4,0,,,20.5,117.5,,9.7,69.5,82.43,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/10/2021,35,26.5,30.1,,43.2,0,,,25,125.79,,10.2,48.1,78.47,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/11/2021,35.5,25.1,29.3,,43.1,40.23,,,21.2,118.74,,9.1,51.4,79.41,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/12/2021,34.1,25,29.3,,43.4,2.76,,,21.4,107.96,,9.4,45.8,82.05,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/13/2021,32.3,24,27.5,,41.8,19.08,,,23.2,93.29,,9.4,73.9,88.13,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/14/2021,34,25,29.2,,41.4,0.18,,,23.2,125.88,,9.3,40.8,79,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/15/2021,33.5,27.8,30,,41.9,0.1,,,22.3,131.75,,10.3,63,80.95,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/16/2021,34.5,27,30.3,,43.3,0.2,,,24.1,119.71,,9.8,63.4,78.93,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/17/2021,34,27,29.9,,43.1,1.16,,,20.5,122.5,,9.8,61.8,81.56,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/18/2021,33,28,30.2,,41.6,5,,,24.1,128.46,,10.1,78,80.13,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/19/2021,35.5,27,30.8,,45.7,0,,,21.4,129.88,,10.6,52.8,77.92,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/20/2021,35.5,27,31,,44,0.2,,,22.3,103.79,,10,37.3,76.41,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/21/2021,33.5,27.5,30.1,,46.5,3.3,,,19.4,110.29,,9.7,60.6,84.15,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/22/2021,36.2,27.8,31.3,,47.7,0,,,25.9,116.75,,11.1,29,77.45,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/23/2021,35,28.8,31,,45,0.4,,,23.2,115,,10.8,59.4,79.33,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/24/2021,29.5,25,27.3,,36.8,8.55,,,20.3,187.96,,9.8,74,80.72,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/25/2021,27.7,23,25.7,,30.5,11.2,,,15.7,222.48,,8.5,81.5,83.64,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/26/2021,34,25,28.8,,40.1,3.09,,,22.3,151.39,,9.4,45.6,81.92,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/27/2021,33.1,27,29.9,,42.3,0,,,18.5,118.21,,10.6,32.8,79.15,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/28/2021,34.2,27,30.2,,42,60,,,19.4,109.67,,9.3,36.5,77.75,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/29/2021,36,28,31.2,,43.8,1.4,,,23.2,125.42,,9.4,49.3,76.21,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/30/2021,38.6,28,32.4,,44.2,0,,,15.7,116.65,,10.9,20.8,70.05,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/31/2021,39,29,33.6,,45.8,0,,,16.6,140.88,,11.6,12.6,63.6,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/01/2021,39.4,29,34.5,,45.5,0,,,18.5,161.83,,10.6,14.8,59.46,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/02/2021,39.5,29,33.5,,48.8,0,,,15.7,117.05,,9.3,25.6,67.6,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/03/2021,39.5,30,34.1,,47.6,0,,,18.4,137.04,,10,30.3,65.94,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/04/2021,31.3,26,27.7,,43.1,16.3,,,37.1,193.23,,10,44.5,71.04,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/05/2021,32.1,25.5,28.5,,38.5,1,,,7.6,178.47,,9.3,23.7,62.91,Rain
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/06/2021,33.1,26.5,29.5,,40.6,0,,,13.9,105.7,,6.4,60.8,73.92,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/07/2021,33.1,25.7,28.7,,39.1,54.06,,,18.6,100.13,,8.7,46.8,79.83,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/08/2021,33.5,25.6,28,,37.3,38.98,,,12.1,152.36,,8.6,68,83.16,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/09/2021,32,25.8,28.3,,39.9,35.63,,,17.5,168.86,,8.9,68.7,84.29,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/10/2021,31.5,27,28.6,,39.2,34.39,,,10.3,89.83,,9.5,56.2,86.99,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/11/2021,33,27,29.4,,39.9,4.98,,,19.5,115.75,,9.5,52.4,80.88,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/12/2021,33,25.9,28.7,,40.7,52.49,,,18.4,265.83,31.7,8.8,62.9,84.49,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/13/2021,30.7,25.5,27.8,,37.6,64.13,,,23.2,92.38,,9.4,74.6,87.11,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/14/2021,34.1,26,29.7,,40.2,2,,,22.3,121.13,,10.8,43.6,75.73,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/15/2021,35,27,30.9,,40.9,0.1,,,13.9,121.96,,11.3,13.6,69.25,Rain
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/16/2021,37.1,28,32.3,,42.5,0,,,17.5,108.57,,10.4,20.8,66.13,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/17/2021,37.1,28,32.9,,44,0,,,17.5,133.57,,10.9,9.4,64.38,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/18/2021,38,29,33.5,,44.6,0,,,16.6,153.91,,11.6,6.9,62.49,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/19/2021,39.3,29,34.5,,44.8,0,,,13,202.79,,11.8,4,54.26,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/20/2021,39.5,30.5,35.3,,44.5,0,,,15.7,219.39,,11.6,6.5,47.52,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/21/2021,38.7,30,34.3,,44.5,0,,,15.1,178.26,,11,17.5,58.07,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/22/2021,36.5,26.2,32.4,,46.1,0,,,17.5,104.63,,10.9,34.5,65.67,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/23/2021,33.5,26,29.8,,40.6,42.93,,,13,168.5,,9.9,32.9,74.89,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/24/2021,32.1,26,28,,43.3,4.31,,,15.7,90.54,,9.7,59.6,88.43,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/25/2021,32,25,28.2,,40.3,4,,,27.7,106.65,,9,62.6,84.68,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/26/2021,34.5,25,29,,42.3,38.66,,,13.9,116.38,,10.6,50.2,77.65,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/27/2021,37,26,32,,43.1,7,,,14.8,162.33,,10.6,17.2,64.32,Rain
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/28/2021,37.4,29.5,33.7,,44,0,,,12.1,216.63,,10.6,19.1,54.92,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/29/2021,35.4,30,32.5,,42.7,7.4,,,17.6,134.32,,10.1,28.9,59.98,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/30/2021,36,28,32,,41.9,0.49,,,16.6,143.67,,10.1,25,64.42,Rain
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/01/2021,36.5,30.4,32.9,,41.2,0,,,18.4,174.29,,10.1,21.6,56.28,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/02/2021,38,30.4,33.7,,42.9,0,,,22.1,216.7,,10.6,21.4,52.74,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/03/2021,36.6,30,32.8,,43.5,0,,,11.2,171.38,,10.4,20.1,61.9,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/04/2021,37,29,32.7,,44.3,0,,,20.3,111.52,,10.6,37.3,67.27,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/05/2021,32.5,26,30.1,,42.4,16.47,,,18.5,133.21,,9.9,41.1,77.43,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/06/2021,34.7,27.5,31.2,,41.3,0,,,16.6,130.29,,10.2,32,69.62,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/07/2021,34,27.5,29.7,,40.6,24.75,,,12.1,251.17,,9.9,44.6,80.52,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/08/2021,29.4,24.8,27.1,,36.2,74.03,,,18.4,99.08,,9,81,91.3,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/09/2021,32,26,28.9,,40.7,7.37,,,15.7,107.96,,9.5,51.8,83.63,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/10/2021,32.3,26,29.1,,39.4,14.83,,,15,144.95,,9.8,30.3,79.71,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/11/2021,35,26,30.4,,39.5,0,,,16.6,122.67,,10.9,26.3,70.56,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/12/2021,35,27,30.9,,40.8,0,,,20.5,137.38,,11.6,17.7,70.7,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/13/2021,35,27.9,30.9,,42.2,0,,,20.5,138.13,,10.3,35.3,73.26,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/14/2021,35,27.5,31.2,,41.4,2,,,24.1,132,,10.3,35.2,71.28,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/15/2021,35,27.5,31.2,,40.2,0,,,18.5,134.71,,11.3,31.7,69.08,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/16/2021,35.5,27,31.3,,42.2,0,,,14.8,124.17,,11.9,20.7,68.24,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/17/2021,35.6,27,31.3,,42.7,0,,,22.3,115.88,,10.9,19.5,69.91,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/18/2021,31.4,25,27.7,,41.8,48.44,,,19.4,105.45,,9.6,52.3,91.23,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/19/2021,34.2,25,28.8,,40.6,0,,,13.9,145.09,,9.7,49.4,79.08,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/20/2021,35,26,29.2,,42.2,0.12,,,24.1,240.19,,9.6,69.9,82.65,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/21/2021,35,26,28.9,,40.6,3.59,,,19.4,243.54,,9.2,41.7,81.37,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/22/2021,32,26,28.3,,42.4,31.33,,,11.2,227.04,,8.8,48.1,89.96,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/23/2021,27.5,26,26.7,,33.2,51.31,,,13.9,289.83,37.1,8,77.7,97.76,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/24/2021,36,26.8,30.2,,42.6,2.04,,,24.1,201.52,,8.9,40.3,80.78,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/25/2021,34.4,27,30,,43.8,23,,,18.5,217.83,,9.9,36.8,77.54,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/26/2021,35.1,26,30.2,,41.5,10,,,13.9,262.09,,10,38.1,76.43,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/27/2021,36.4,27.5,31.5,,43.8,0.2,,,10.5,250.68,,11.4,25.8,71.48,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/28/2021,36,28.1,31,,44.2,9.8,,,16.6,192.42,,11.1,36.4,74.91,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/29/2021,35.2,28,30.2,,45.3,7.53,,,17.6,184.88,,10,50.3,82.04,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/30/2021,36,27.4,31.1,,44.8,0.3,,,10.3,179.86,,8.6,33.4,75.17,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",07/31/2021,36.5,28,31.8,,46.6,0,,,12.1,131,,9.7,33,76.21,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/01/2021,30,25,27.8,,38.1,93.94,,,21.4,233.58,,9.7,66.2,90.51,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/02/2021,36.2,27,30.9,,44.6,0,,,14.1,204.55,,9.7,27.3,78.29,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/03/2021,36.7,27,31.5,,44.3,0,,,13,232.08,,9.8,13.6,71.09,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/04/2021,37.5,28,32.8,,46,0,,,11.2,231.68,,10.8,17.2,70.41,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/05/2021,36.7,29,33,,46.8,0,,,16.6,214.71,,9,16.6,71.87,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/06/2021,38.2,29.5,33.8,,45.5,0,,,19.4,217.95,,9,16,64.53,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/07/2021,38.7,29.5,34.1,,46,0,,,13.9,221.87,,10.5,15.5,62.38,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/08/2021,34.5,27,30.5,,52,0,,,15.9,95.33,,10.1,35.3,86.57,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/09/2021,32.4,27,30.1,,47.4,0,,,12.6,130.58,,8.5,58.1,87.12,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/10/2021,30.1,25,27.3,,38.9,40.56,,,25,135.79,,9.4,83.3,92.12,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/11/2021,32.7,24.5,27.2,,45,28.23,,,14,123,,8,76.1,93.72,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/12/2021,32.4,24,27.4,,45.2,50.13,,,16.6,104.75,,8.5,66.3,92.13,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/13/2021,35,25.8,29.9,,44.8,1.35,,,14.8,112.5,,9.8,45.7,81.3,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/14/2021,35.5,24.5,30.2,,43.3,4.2,,,13.9,157.35,,9.2,39.4,79.84,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/15/2021,31.6,26,28.3,,42.4,12.12,,,14.8,139,,9.7,65.5,92.57,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/16/2021,33.5,27,30.1,,43.3,0,,,16.6,100.48,,10.5,34.2,81.6,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/17/2021,35.8,25,30.1,,42.6,42,,,24.1,190.09,42.5,9.6,39.8,76.85,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/18/2021,35.4,24,29.2,,45,0.75,,,22.3,122.73,,10.6,36.9,80.53,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/19/2021,34.2,25,29.6,,41.6,24.62,,,18.5,101.38,,11.2,23,78.78,Rain
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/20/2021,34.1,27,30.5,,42.4,5.28,,,15.7,130.46,,11.2,34.9,79.94,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/21/2021,36,28,31.3,,45.8,0,,,20.5,136.61,,10,35.4,78.56,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/22/2021,35.1,28,31.1,,47.9,0,,,19.4,121.63,,10,42.4,85.22,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/23/2021,30.5,27,28.8,,42.2,114,,,18.4,99.5,,10.3,46.1,90.72,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/24/2021,34.2,27,30.4,,48.4,3,,,19.4,101.83,,10.5,54,85.93,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/25/2021,33.5,27.2,29.9,,43.8,9,,,16.7,105.04,,9.6,39.2,85.55,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/26/2021,32.1,24.9,28.9,,40.7,31.66,,,16.6,95.92,,9.6,42.8,86.98,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/27/2021,31.3,24,27.8,,38.8,83.61,,,12.1,187.63,,10.5,49.4,90.63,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/28/2021,32.2,24,27.6,,39.2,16.85,,,16.7,125.81,,9.7,55.1,87.23,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/29/2021,33,25,28.4,,37.7,0.2,,,17.5,129.63,,9.8,32.9,79.55,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/30/2021,33.2,26,28.9,,38.6,0,,,18.5,151.57,,9.8,29.4,80.42,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",08/31/2021,34,26,29.5,,41.4,10,,,17.5,143.86,,10,27.3,80.18,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",09/01/2021,33.5,26.5,29.9,,40.6,19,,,13,163.58,,10.1,34.3,77.4,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",09/02/2021,32,25.5,28.5,,40.6,110.41,,,11.2,153.45,,9.7,48.5,86.27,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",09/03/2021,33.5,26,29.7,,41.4,14,,,17.5,90.04,,9.2,44.7,79.72,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",09/04/2021,33.5,27,29.9,,41.5,10.4,,,18.4,93.54,,9.6,39.5,79.44,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",09/05/2021,31.5,24.1,28.2,,40.8,36.54,,,13.9,177.23,,9.6,42.2,86.75,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",09/06/2021,34.5,25,29.2,,40.7,0.3,,,11.2,238.67,,9.5,29.8,79.15,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",09/07/2021,31,26,27.1,,40.5,0,,,18.4,232.94,,9.3,34.2,93.76,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",09/08/2021,32,24,27.3,,42.1,0,,,31.7,159.33,,8.7,67.5,89.59,Partially cloudy
